Location,Minimum,Average,Maximum
Villareal,11.5667,25.75225,39.9378,2
Apucarana,-23.5508,-23.5508,-23.5508,1
Khatanga,71.9797,71.9797,71.9797,1
Barra do Mendes,-11.81,-11.81,-11.81,1
Chinnachauku,14.4732,14.4732,14.4732,1
Treviglio,45.5214,45.5214,45.5214,1
Caraguatatuba,-23.62,-23.62,-23.62,1
Marsciano,42.9167,42.9167,42.9167,1
Bambari,5.7653,5.7653,5.7653,1
Atlapexco,21.0042,21.0042,21.0042,1
Marrero,29.8871,29.8871,29.8871,1
Nzeto,-7.229,-7.229,-7.229,1
Silves,-2.8389,17.174,37.1869,2
Phibun Mangsahan,15.2482,15.2482,15.2482,1
Highland Springs,37.5516,37.5516,37.5516,1
Tutrakan,44.05,44.05,44.05,1
El Crucero,11.9894,11.9894,11.9894,1
Emirdağ,39.0167,39.0167,39.0167,1
Velykodolynske,46.3425,46.3425,46.3425,1
Kyazanga,-0.3864,-0.3864,-0.3864,1
Al Jumaylīyah,25.6208,25.6208,25.6208,1
Malacatancito,15.3167,15.3167,15.3167,1
Porto Sant’Elpidio,43.2667,43.2667,43.2667,1
Nova Esperança,-23.1839,-14.958601,-6.7333,2
Teeli,51.0086,51.0086,51.0086,1
Astravyets,54.6136,54.6136,54.6136,1
Perumbalam,10.8,10.8,10.8,1
Coyotepec,19.7756,19.7756,19.7756,1
Pirané,-25.7328,-25.7328,-25.7328,1
Drochia,48.0333,48.0333,48.0333,1
Wisbech,52.664,52.664,52.664,1
San Juan Despí,41.3668,41.3668,41.3668,1
Correggio,44.7703,44.7703,44.7703,1
Lozova,48.8892,48.8892,48.8892,1
Kendale Lakes,25.7081,25.7081,25.7081,1
Torgelow,53.6167,53.6167,53.6167,1
Bitetto,41.0333,41.0333,41.0333,1
Antequera,9.7812,23.39975,37.0183,2
Chatra Gobraura,26.4973,26.4973,26.4973,1
Blackburn,53.748,53.748,53.748,1
Gjøvik,60.7957,60.7957,60.7957,1
Khesht,29.5636,29.5636,29.5636,1
Lozovo,41.7817,41.7817,41.7817,1
Oldeani,-3.35,-3.35,-3.35,1
Kristiansand,58.1472,58.1472,58.1472,1
Kagadi,0.9411,0.9411,0.9411,1
La Maddalena,41.2167,41.2167,41.2167,1
Tzaneen,-23.8333,-23.8333,-23.8333,1
Canápolis,-18.725,-15.8975,-13.07,2
Krompachy,48.9139,48.9139,48.9139,1
Loria,45.7333,45.7333,45.7333,1
Mennzel Bou Zelfa,36.6817,36.6817,36.6817,1
Kingaroy,-26.5408,-26.5408,-26.5408,1
Wilkes-Barre,41.2469,41.2469,41.2469,1
Berkley,39.8045,41.15155,42.4986,2
Citrus Park,28.073,28.073,28.073,1
Freudenstadt,48.4633,48.4633,48.4633,1
Agawam,42.0657,42.0657,42.0657,1
Echizen,35.9035,35.93885,35.9742,2
Chintalapalle,15.04,15.04,15.04,1
London Grove,39.8327,39.8327,39.8327,1
Balassagyarmat,48.0786,48.0786,48.0786,1
Grevená,40.085,40.085,40.085,1
Floresta,-8.6008,-8.6008,-8.6008,1
Hālīsahar,22.95,22.95,22.95,1
Zollikon,47.3422,47.3422,47.3422,1
Suō-Ōshima,33.9276,33.9276,33.9276,1
Aguadulce,8.24,8.24,8.24,1
Federación,-30.9833,-30.9833,-30.9833,1
Valguarnera Caropepe,37.5,37.5,37.5,1
Yenipazar,37.8269,37.8269,37.8269,1
Terrace Heights,46.6045,46.6045,46.6045,1
Anuppampattu,13.3018,13.3018,13.3018,1
’Tlat Bni Oukil,32.577,32.577,32.577,1
Pirojgarh,26.2769,26.2769,26.2769,1
Drăgăneşti-Olt,44.1697,44.1697,44.1697,1
The Village,35.5706,35.5706,35.5706,1
Cholet,47.06,47.06,47.06,1
Miarinavaratra,-20.2167,-20.2167,-20.2167,1
Concepción Las Minas,14.5167,14.5167,14.5167,1
Bukowno,50.2681,50.2681,50.2681,1
Pakruojis,55.9667,55.9667,55.9667,1
Narasingapuram,11.6038,12.2883,12.9728,2
Edgewood,39.419,43.32495,47.2309,2
Ulverston,54.193,54.193,54.193,1
Parla,40.2372,40.2372,40.2372,1
Gabès,33.8833,33.8833,33.8833,1
Saint-Gratien,48.9719,48.9719,48.9719,1
Khajurāho,24.85,24.85,24.85,1
Pirayú,-25.48,-25.48,-25.48,1
Capannori,43.85,43.85,43.85,1
Sint-Katelijne-Waver,51.0667,51.0667,51.0667,1
Kiffa,16.63,16.63,16.63,1
Zhongliao,23.9039,23.9039,23.9039,1
Pindobaçu,-10.7428,-10.7428,-10.7428,1
Someren,51.3833,51.3833,51.3833,1
Mao,14.1194,16.84305,19.5667,2
Akropong,5.9742,5.9742,5.9742,1
Parma,41.3843,50.190796,65.923,3
Mau,26.2658,26.2658,26.2658,1
Calabayan,16.7667,16.7667,16.7667,1
Borisoglebsk,51.3667,51.3667,51.3667,1
Saint-Doulchard,47.0997,47.0997,47.0997,1
Falun,60.6072,60.6072,60.6072,1
Tiflet,33.8931,33.8931,33.8931,1
Botevgrad,42.9073,42.9073,42.9073,1
Requena,-5.0569,17.2146,39.4861,2
Villepinte,48.955,48.955,48.955,1
Stahnsdorf,52.3922,52.3922,52.3922,1
Monción,19.4167,19.4167,19.4167,1
Guadarrama,40.6728,40.6728,40.6728,1
Malapannanagudi,15.28,15.28,15.28,1
Bagabag,16.6044,16.6044,16.6044,1
Kalarūch,34.5731,34.5731,34.5731,1
Zelenogradsk,54.9667,54.9667,54.9667,1
Şemdinli,37.308,37.308,37.308,1
Santa Maria a Monte,43.7,43.7,43.7,1
Ban Bang Lamung,13.047,13.047,13.047,1
Wohlen,47.3506,47.3506,47.3506,1
Sokone,13.8833,13.8833,13.8833,1
Dormentes,-8.4469,-8.4469,-8.4469,1
Borgomanero,45.7,45.7,45.7,1
Broxburn,55.934,55.934,55.934,1
Albenga,44.05,44.05,44.05,1
Kawatana,33.0728,33.0728,33.0728,1
El Playón,7.4767,7.4767,7.4767,1
Bellefontaine,40.3627,40.3627,40.3627,1
Bad Bentheim,52.3031,52.3031,52.3031,1
Thames Ditton,51.389,51.389,51.389,1
Goalundo Ghāt,23.7333,23.7333,23.7333,1
Böhl-Iggelheim,49.3714,49.3714,49.3714,1
Oğuz,41.0708,41.0708,41.0708,1
Qarabalyq,53.7506,53.7506,53.7506,1
Dapitan,8.6549,8.6549,8.6549,1
Morarano,-19.4333,-19.166649,-18.9,2
Tvrdošín,49.3343,49.3343,49.3343,1
Dhabauli,25.8346,25.8346,25.8346,1
Natonin,17.1089,17.1089,17.1089,1
Wittenbach,47.4667,47.4667,47.4667,1
Haymā’,19.9569,19.9569,19.9569,1
Lemery,11.2333,12.575001,13.9167,2
Atasū,48.6903,48.6903,48.6903,1
La Bruyère,50.5,50.5,50.5,1
Oranjemund,-28.5517,-28.5517,-28.5517,1
Apsheronsk,44.4667,44.4667,44.4667,1
Sokolo,14.7328,14.7328,14.7328,1
Hallstahammar,59.6167,59.6167,59.6167,1
Saint-Julien-en-Genevois,46.1442,46.1442,46.1442,1
Kaikalūr,16.5667,16.5667,16.5667,1
Ash Shaykh Zuwayd,31.2119,31.2119,31.2119,1
Antonibe,-15.1167,-15.1167,-15.1167,1
Malvinas Argentinas,-31.3697,-31.3697,-31.3697,1
Chinaur,25.9467,25.9467,25.9467,1
Costa de Caparica,38.6446,38.6446,38.6446,1
Befandriana,-15.2667,-15.2667,-15.2667,1
Palimbang,6.2167,6.2167,6.2167,1
El Dovio,4.5167,4.5167,4.5167,1
Jagatpur,23.6048,24.9893,26.3738,2
Bruchsal,49.1333,49.1333,49.1333,1
Kanhauli,26.4815,26.4815,26.4815,1
Cantel,14.8112,14.8112,14.8112,1
Pargi,17.1756,17.1756,17.1756,1
Analamary,-24.2333,-24.2333,-24.2333,1
Westampton,40.0168,40.0168,40.0168,1
Târgu Lăpuş,47.4525,47.4525,47.4525,1
Ciampino,41.8,41.8,41.8,1
Budha Thēh,31.5177,31.5177,31.5177,1
Judenburg,47.1725,47.1725,47.1725,1
Moraga,37.8439,37.8439,37.8439,1
Suntar,62.1575,62.1575,62.1575,1
Karonga,-9.9333,-9.9333,-9.9333,1
Alipur,18.8621,18.8621,18.8621,1
Pariyāri,25.2128,25.2128,25.2128,1
Pontal,-21.0225,-21.0225,-21.0225,1
Chaplygin,53.2333,53.2333,53.2333,1
Soalkuchi,26.17,26.17,26.17,1
Geddes,43.0762,43.0762,43.0762,1
Delfzijl,53.3333,53.3333,53.3333,1
Las Matas de Santa Cruz,19.67,19.67,19.67,1
Albi,43.9289,43.9289,43.9289,1
Central Islip,40.7836,40.7836,40.7836,1
Puerto Baquerizo Moreno,-0.9025,-0.9025,-0.9025,1
Cambrils,41.067,41.067,41.067,1
Alba,44.7,44.7,44.7,1
Briniamaro,10.7411,10.7411,10.7411,1
Vaudreuil-Dorion,45.4,45.4,45.4,1
Heiligenhafen,54.3739,54.3739,54.3739,1
Langelsheim,51.9381,51.9381,51.9381,1
Northglenn,39.9108,39.9108,39.9108,1
Ambohimierambe-Andranofito,-19.7833,-19.7833,-19.7833,1
Susaki,33.3925,33.3925,33.3925,1
Shchelkovo,55.9167,55.9167,55.9167,1
Manjeri,11.1197,11.1197,11.1197,1
Gibraleón,37.3753,37.3753,37.3753,1
Guisborough,54.535,54.535,54.535,1
Gafsa,34.4167,34.4167,34.4167,1
Ocuilan de Arteaga,19.0,19.0,19.0,1
L’Isle-Jourdain,43.6136,43.6136,43.6136,1
Bonga,7.2667,7.2667,7.2667,1
Qingan,46.8719,46.8719,46.8719,1
Punalūr,9.017,9.017,9.017,1
Dalavāypattanam,10.6747,10.6747,10.6747,1
Kaštel Stari,43.55,43.55,43.55,1
Sāmbhar,26.9103,26.9103,26.9103,1
Kabacan,7.1167,7.1167,7.1167,1
Sabanagrande,10.8,10.8,10.8,1
Borgo Maggiore,43.945,43.945,43.945,1
Calera de Tango,-33.6302,-33.6302,-33.6302,1
Wilsdruff,51.0522,51.0522,51.0522,1
Paris,33.6688,36.944626,39.6148,4
Anūppur,23.1034,23.1034,23.1034,1
Hindley,53.5355,53.5355,53.5355,1
Tsiatajavona-Ankaratra,-19.3833,-19.3833,-19.3833,1
Montivilliers,49.5461,49.5461,49.5461,1
Seohāra,29.22,29.22,29.22,1
Māḩiş,31.9833,31.9833,31.9833,1
Kawagoe,35.0167,35.0167,35.0167,1
Pudsey,53.797,53.797,53.797,1
Acquaviva,43.9457,43.9457,43.9457,1
Falimāri,26.3856,26.3856,26.3856,1
Sokodé,8.9833,8.9833,8.9833,1
Ystrad Mynach,51.6419,51.6419,51.6419,1
Guarabira,-6.855,-6.855,-6.855,1
Cahama,-16.2833,-16.2833,-16.2833,1
Parsa,25.7721,25.8871,26.0021,2
Shurugwi,-19.6667,-19.6667,-19.6667,1
Wolfsburg,52.4231,52.4231,52.4231,1
Selim,40.4633,40.4633,40.4633,1
Beech Grove,39.7157,39.7157,39.7157,1
Bondy,48.9022,48.9022,48.9022,1
Casale,18.8014,18.8014,18.8014,1
Xishrov,39.6383,39.6383,39.6383,1
Marmaris,36.85,36.85,36.85,1
Pharāha,24.8522,24.8522,24.8522,1
Pully,46.5167,46.5167,46.5167,1
Lorraine,45.6833,45.6833,45.6833,1
Caldas da Rainha,39.4072,39.4072,39.4072,1
Flores,-7.8658,4.53375,16.9333,2
Tefam,5.2667,5.2667,5.2667,1
Borgoricco,45.5167,45.5167,45.5167,1
Khagra,25.3511,25.3511,25.3511,1
Granger,41.7374,41.7374,41.7374,1
Chornomorsk,46.3017,46.3017,46.3017,1
Saint-Pierre-du-Perray,48.6131,48.6131,48.6131,1
Aleg,17.05,17.05,17.05,1
Cooper City,26.0463,26.0463,26.0463,1
Titisee-Neustadt,47.9122,47.9122,47.9122,1
Oslob,9.55,9.55,9.55,1
Stebnyk,49.3,49.3,49.3,1
Bondo,3.8167,3.8167,3.8167,1
Orting,47.0967,47.0967,47.0967,1
Rothrist,47.3028,47.3028,47.3028,1
Ōharu,35.1751,35.1751,35.1751,1
Bouchabel,34.3833,34.3833,34.3833,1
Alterosa,-21.219,-21.219,-21.219,1
Bagulā,23.335,23.335,23.335,1
Hārua,24.5249,24.5249,24.5249,1
Ōfunato,39.068,39.068,39.068,1
Odaipatti,9.8323,9.8323,9.8323,1
Holalu,15.02,15.02,15.02,1
Buntok,-1.719,-1.719,-1.719,1
San Severo,41.6951,41.6951,41.6951,1
Roncador,-24.6028,-24.6028,-24.6028,1
Rafaï,4.9731,4.9731,4.9731,1
Les Ponts-de-Cé,47.4244,47.4244,47.4244,1
Gleisdorf,47.1039,47.1039,47.1039,1
Bonao,18.95,18.95,18.95,1
Frosinone,41.6333,41.6333,41.6333,1
Hongsi,35.5113,35.5113,35.5113,1
Pokotylivka,49.9139,49.9139,49.9139,1
Czechowice-Dziedzice,49.9131,49.9131,49.9131,1
Winneba,5.35,5.35,5.35,1
Miskolc,48.0833,48.0833,48.0833,1
Arnstadt,50.8342,50.8342,50.8342,1
Navalgund,15.57,15.57,15.57,1
Santa Maria di Sala,45.5089,45.5089,45.5089,1
Juan de Acosta,10.8333,10.8333,10.8333,1
South Hayling,50.7876,50.7876,50.7876,1
Corocoro,-17.1667,-17.1667,-17.1667,1
Evander,-26.4719,-26.4719,-26.4719,1
Shirosato,36.4792,36.4792,36.4792,1
Bossier City,32.5224,32.5224,32.5224,1
Wharton,29.3177,29.3177,29.3177,1
Hikari,33.9619,33.9619,33.9619,1
Alga,49.9028,49.9028,49.9028,1
Matelândia,-25.2408,-25.2408,-25.2408,1
Ambatoria,-14.5,-14.5,-14.5,1
Kanyato,-4.4565,-4.4565,-4.4565,1
Bessemer,33.3712,33.3712,33.3712,1
Paços de Ferreira,41.2667,41.2667,41.2667,1
Cocorná,6.0569,6.0569,6.0569,1
Nová Dubnica,48.9331,48.9331,48.9331,1
Kosatarosh,39.4,39.4,39.4,1
Usmat Shaharchasi,39.7386,39.7386,39.7386,1
Doljevac,43.1968,43.1968,43.1968,1
Bollullos de la Mitación,37.3333,37.3333,37.3333,1
Parol,32.346,32.346,32.346,1
Rijswijk,52.0456,52.0456,52.0456,1
Blansko,49.3631,49.3631,49.3631,1
Doany,-14.3667,-14.3667,-14.3667,1
Ōsawa,33.2,33.2,33.2,1
Lackawanna,42.8182,42.8182,42.8182,1
Manjimup,-34.2411,-34.2411,-34.2411,1
Pendembu,8.1,8.1,8.1,1
Adjala-Tosorontio,44.1333,44.1333,44.1333,1
Shāhpur,16.7,22.293041,25.6029,5
San José de Jáchal,-30.2333,-30.2333,-30.2333,1
Lissegazoun,6.6167,6.6167,6.6167,1
Littleover,52.906,52.906,52.906,1
Aix-les-Bains,45.6885,45.6885,45.6885,1
Kakching,24.6085,24.6085,24.6085,1
Lora del Río,37.65,37.65,37.65,1
Tilakpur,28.5278,28.5278,28.5278,1
Maruim,-10.7378,-10.7378,-10.7378,1
Allāhpur,26.3434,26.3434,26.3434,1
Ipaporanga,-4.9,-4.9,-4.9,1
Shelawādi,15.5833,15.5833,15.5833,1
Ghorādal,22.0519,22.0519,22.0519,1
Draguignan,43.5403,43.5403,43.5403,1
Padre Hurtado,-33.5667,-33.5667,-33.5667,1
Tovāla,8.2482,8.2482,8.2482,1
Chesham,51.712,51.712,51.712,1
Tāmganj,26.2478,26.2478,26.2478,1
Dorval,45.45,45.45,45.45,1
Melrose,42.4556,42.4556,42.4556,1
Cogua,5.0667,5.0667,5.0667,1
Brigham City,41.5035,41.5035,41.5035,1
Suisun City,38.2473,38.2473,38.2473,1
’Aïn Roua,36.3344,36.3344,36.3344,1
Teolândia,-13.6019,-13.6019,-13.6019,1
Hartlepool,54.69,54.69,54.69,1
Selby,53.7818,53.7818,53.7818,1
Ureshinomachi-shimojuku,33.1333,33.1333,33.1333,1
Tiverton,41.609,46.256,50.903,2
Sārni,22.104,22.104,22.104,1
São Joaquim,-28.2939,-28.2939,-28.2939,1
Rubizhne,49.0336,49.0336,49.0336,1
Padre Garcia,13.8833,13.8833,13.8833,1
Fakfak,-2.9167,-2.9167,-2.9167,1
Huautla,21.0308,21.0308,21.0308,1
Bologoye,57.8833,57.8833,57.8833,1
Moa,20.6397,20.6397,20.6397,1
Karath,25.201,25.201,25.201,1
Kamenka,53.1833,53.1833,53.1833,1
Moe,-38.1722,-38.1722,-38.1722,1
Romans-sur-Isère,45.0464,45.0464,45.0464,1
Stockbridge,33.5254,33.5254,33.5254,1
Krimpen aan den IJssel,51.9167,51.9167,51.9167,1
Matochkin Shar,73.27,73.27,73.27,1
Mol,51.1833,51.1833,51.1833,1
Yatton,51.3855,51.3855,51.3855,1
Maravilla Tenejapa,16.2167,16.2167,16.2167,1
Sandomierz,50.6833,50.6833,50.6833,1
Namakadu,14.006,14.006,14.006,1
Chidambaram,11.407,11.407,11.407,1
Łaziska Górne,50.15,50.15,50.15,1
Lidköping,58.5,58.5,58.5,1
Fino Mornasco,45.75,45.75,45.75,1
DuPont,47.1079,47.1079,47.1079,1
San Juan de Urabá,8.7667,8.7667,8.7667,1
Bangassou,4.7374,4.7374,4.7374,1
Colleferro,41.7333,41.7333,41.7333,1
Egvekinot,66.3221,66.3221,66.3221,1
Sālotgi,17.17,17.17,17.17,1
Khodoriv,49.41,49.41,49.41,1
Mazzarino,37.3,37.3,37.3,1
Sobrāon,31.1833,31.1833,31.1833,1
Satsuma,31.9057,31.9057,31.9057,1
Alma,43.3799,45.96495,48.55,2
Jāmtāra,23.95,23.95,23.95,1
Ksar Sghir,35.8419,35.8419,35.8419,1
West Perth,43.47,43.47,43.47,1
Hemau,49.0519,49.0519,49.0519,1
Villa Alsina,-34.6667,-34.6667,-34.6667,1
McDonough,33.4397,33.4397,33.4397,1
Usuppūr,11.3815,11.3815,11.3815,1
Mugdampalli,17.6167,17.6167,17.6167,1
Tirur,10.9,10.9,10.9,1
Borbon,10.8333,10.8333,10.8333,1
President Roxas,7.1544,9.292049,11.4297,2
Gorna Oryahovitsa,43.1333,43.1333,43.1333,1
Pudūr,11.296,11.296,11.296,1
Rosdorf,51.5,51.5,51.5,1
Hjørring,57.4636,57.4636,57.4636,1
Sarrebourg,48.7347,48.7347,48.7347,1
Balombo,-12.35,-12.35,-12.35,1
Saint-André-de-Cubzac,44.9947,44.9947,44.9947,1
Bindura,-17.3,-17.3,-17.3,1
Honggu,36.293,36.293,36.293,1
Petite Rivière de Nippes,18.4833,18.4833,18.4833,1
Caldas de Reyes,42.6028,42.6028,42.6028,1
Oświęcim,50.0381,50.0381,50.0381,1
Coronel Bogado,-27.17,-27.17,-27.17,1
Uppsala,59.8601,59.8601,59.8601,1
East Hemet,33.7301,33.7301,33.7301,1
Gucheng,34.4545,34.4545,34.4545,1
Katima Mulilo,-17.5039,-17.5039,-17.5039,1
Kokkola,63.8367,63.8367,63.8367,1
Wooburn,51.581,51.581,51.581,1
Thalwil,47.2833,47.2833,47.2833,1
Wyandanch,40.7496,40.7496,40.7496,1
Losal,27.4,27.4,27.4,1
Nakhon Pathom,13.8206,13.8206,13.8206,1
Pulpí,37.4019,37.4019,37.4019,1
Atami,35.096,35.096,35.096,1
Ōguchi,35.3325,35.3325,35.3325,1
Rylsk,51.5667,51.5667,51.5667,1
Greenock,55.95,55.95,55.95,1
Trutnov,50.5606,50.5606,50.5606,1
Haripur,33.9942,33.9942,33.9942,1
Pariharpur,26.7114,26.7114,26.7114,1
Lapeer,43.0447,43.0447,43.0447,1
Longjumeau,48.6943,48.6943,48.6943,1
Les Pennes-Mirabeau,43.4106,43.4106,43.4106,1
Karapa,16.9,16.9,16.9,1
Cruz,-2.9178,-2.9178,-2.9178,1
Abreus,22.2806,22.2806,22.2806,1
Nong Bua,15.8647,15.8647,15.8647,1
Sāram,23.7625,23.7625,23.7625,1
Esmeralda,21.8561,21.8561,21.8561,1
Nanxingguo,37.6306,37.6306,37.6306,1
Nansio,-2.1078,-2.1078,-2.1078,1
Spokane Valley,47.6626,47.6626,47.6626,1
Worms,49.6319,49.6319,49.6319,1
Sugbongkogon,8.95,8.95,8.95,1
Mariyādau,24.2762,24.2762,24.2762,1
Ibrā’,22.6833,22.6833,22.6833,1
South Venice,27.0444,27.0444,27.0444,1
Koāth,25.3264,25.3264,25.3264,1
Vylgort,61.6275,61.6275,61.6275,1
Juprelle,50.7167,50.7167,50.7167,1
San Raimundo,14.7647,14.7647,14.7647,1
Bourg-de-Péage,45.0378,45.0378,45.0378,1
Manlleu,42.0,42.0,42.0,1
Jalpāiguri,26.5167,26.5167,26.5167,1
Rāpūr,14.2015,14.2015,14.2015,1
Bundaberg,-24.8661,-24.8661,-24.8661,1
Hemāvati,14.0232,14.0232,14.0232,1
Sapouy,11.5544,11.5544,11.5544,1
Teustepe,12.4206,12.4206,12.4206,1
Guliston,40.4833,40.4833,40.4833,1
Chivilcoy,-34.9,-34.9,-34.9,1
Beltsville,39.0394,39.0394,39.0394,1
Assebroek,51.2,51.2,51.2,1
Guryongpo,35.9833,35.9833,35.9833,1
Brownsville,25.8216,30.7053,35.589,2
Montividiu,-17.4439,-17.4439,-17.4439,1
Fochville,-26.4833,-26.4833,-26.4833,1
Selma,29.5866,32.858234,36.5715,3
Alpu,39.7667,39.7667,39.7667,1
Aristóbulo del Valle,-27.1167,-27.1167,-27.1167,1
José Bonifácio,-21.0528,-21.0528,-21.0528,1
Hikawa,35.3929,35.3929,35.3929,1
Großhansdorf,53.6667,53.6667,53.6667,1
Imbatug,8.3128,8.3128,8.3128,1
Shangzhen,33.7116,33.7116,33.7116,1
Lonār,19.98,19.98,19.98,1
Khirbat Ghazālah,32.7333,32.7333,32.7333,1
Zhongling,28.9391,28.9391,28.9391,1
Nansan,23.7784,23.7784,23.7784,1
Rāmdiri,25.3118,25.3118,25.3118,1
Darihat,24.9702,24.9702,24.9702,1
San Salvador El Seco,19.1333,19.1333,19.1333,1
Bad Frankenhausen,51.3558,51.3558,51.3558,1
Guiuan,11.03,11.03,11.03,1
Druzhba,41.2222,41.2222,41.2222,1
Mut,36.6333,36.6333,36.6333,1
Kobuleti,41.8111,41.8111,41.8111,1
Kushtagi,15.7562,15.7562,15.7562,1
Banino,54.3922,54.3922,54.3922,1
Hemei,24.1167,24.1167,24.1167,1
Çatalpınar,40.879,40.879,40.879,1
Mysłowice,50.2333,50.2333,50.2333,1
Santa Fé,-23.0378,-23.0378,-23.0378,1
L’Haÿ-les-Roses,48.78,48.78,48.78,1
Hemer,51.3833,51.3833,51.3833,1
Horqueta,-23.3442,-23.3442,-23.3442,1
Yattir,31.4478,31.4478,31.4478,1
Attleboro,41.9311,41.9311,41.9311,1
Branquinha,-9.2458,-9.2458,-9.2458,1
Vulcăneşti,45.6833,45.6833,45.6833,1
Yasothon,15.7972,15.7972,15.7972,1
Bundibugyo,0.7125,0.7125,0.7125,1
Marechal Floriano,-20.4128,-20.4128,-20.4128,1
Bocaranga,6.9844,6.9844,6.9844,1
Gulbahor,41.0747,41.0747,41.0747,1
Pāli,23.35,24.7038,26.0576,2
Gūdūr,14.1473,14.1473,14.1473,1
Manjanādi,12.87,12.87,12.87,1
Ba Chúc,10.5,10.5,10.5,1
Tissaf,33.4,33.4,33.4,1
Cervelló,41.3962,41.3962,41.3962,1
Sales Oliveira,-20.7719,-20.7719,-20.7719,1
Sławno,54.3583,54.3583,54.3583,1
Fair Oaks,33.9193,37.145,38.8653,3
Piraju,-23.1936,-23.1936,-23.1936,1
Huzūrābād,18.2,18.2,18.2,1
Djangoa,-13.7833,-13.7833,-13.7833,1
Statte,40.5667,40.5667,40.5667,1
Dangcheng,39.5161,39.5161,39.5161,1
Yanaul,56.2833,56.2833,56.2833,1
Mukaiengaru,44.0621,44.0621,44.0621,1
Borūjen,31.9678,31.9678,31.9678,1
Bulnes,-36.7333,-36.7333,-36.7333,1
Basavana Bāgevādi,16.5728,16.5728,16.5728,1
Manica,-18.9344,-18.9344,-18.9344,1
Vereshchagino,58.1,58.1,58.1,1
Sauðárkrókur,65.7461,65.7461,65.7461,1
Kariat Ben Aouda,34.7667,34.7667,34.7667,1
Maumere,-8.6222,-8.6222,-8.6222,1
Ḩammām al ‘Alīl,36.1581,36.1581,36.1581,1
El Milagro,-8.0284,-8.0284,-8.0284,1
Abrera,41.5165,41.5165,41.5165,1
Sisian,39.5208,39.5208,39.5208,1
Alta,69.9689,69.9689,69.9689,1
Pajapan,18.2667,18.2667,18.2667,1
Giffnock,55.8051,55.8051,55.8051,1
Ankiliabo,-24.6833,-23.19165,-21.7,2
Sarbīsheh,32.5756,32.5756,32.5756,1
Satwās,22.5363,22.5363,22.5363,1
Satwār,26.2163,26.2163,26.2163,1
Perunkalattu,12.9182,12.9182,12.9182,1
Piratininga,-22.4128,-22.4128,-22.4128,1
Tomares,37.3764,37.3764,37.3764,1
Uzynaghash,43.2297,43.2297,43.2297,1
Kifrī,34.6833,34.6833,34.6833,1
Żabbar,35.8772,35.8772,35.8772,1
Mérignac,44.8386,44.8386,44.8386,1
Riverhead,40.9408,40.9408,40.9408,1
Cleburne,32.3568,32.3568,32.3568,1
Tatsuno,35.9824,35.9824,35.9824,1
Polonne,50.1167,50.1167,50.1167,1
Ipiaú,-14.1369,-14.1369,-14.1369,1
Jablah,35.35,35.35,35.35,1
Kosvik,58.15,58.15,58.15,1
Thorold,43.1167,43.1167,43.1167,1
Pyay,18.8167,18.8167,18.8167,1
Vacaville,38.3587,38.3587,38.3587,1
Qâna,33.2092,33.2092,33.2092,1
Rucphen,51.5333,51.5333,51.5333,1
São Félix da Marinha,41.034,41.034,41.034,1
Sète,43.4053,43.4053,43.4053,1
Beasain,43.0458,43.0458,43.0458,1
Ljubno,46.3333,46.3333,46.3333,1
Cidreira,-30.1608,-30.1608,-30.1608,1
Bandio,13.8888,13.8888,13.8888,1
Huétor Vega,37.15,37.15,37.15,1
La Spezia,44.1,44.1,44.1,1
Hellendoorn,52.3667,52.3667,52.3667,1
Cerignola,41.2667,41.2667,41.2667,1
Mangrauni,26.3667,26.3667,26.3667,1
Pszczyna,49.9833,49.9833,49.9833,1
Entre Rios de Minas,-20.6708,-20.6708,-20.6708,1
Zunilito,14.6167,14.6167,14.6167,1
Kärdla,58.9981,58.9981,58.9981,1
Pānr,25.6884,25.6884,25.6884,1
Louny,50.3571,50.3571,50.3571,1
Perumpāndi,10.9808,10.9808,10.9808,1
Kaisarianí,37.9683,37.9683,37.9683,1
Orimattila,60.8042,60.8042,60.8042,1
Chipindo,-13.8244,-13.8244,-13.8244,1
Caldogno,45.6,45.6,45.6,1
Surbiton,51.394,51.394,51.394,1
Lisbon,44.0265,44.0265,44.0265,1
Wombwell,53.516,53.516,53.516,1
Caieiras,-23.3644,-23.3644,-23.3644,1
Pāma,25.8122,25.8122,25.8122,1
Landau an der Isar,48.6667,48.6667,48.6667,1
White Settlement,32.7554,32.7554,32.7554,1
Salesópolis,-23.5319,-23.5319,-23.5319,1
Moody,33.5986,33.5986,33.5986,1
Flora,18.2147,18.2147,18.2147,1
Nueve de Julio,-35.45,-35.45,-35.45,1
Kuvshinovo,57.0333,57.0333,57.0333,1
Tramandaí,-29.985,-29.985,-29.985,1
Campobello di Mazara,37.6333,37.6333,37.6333,1
Acarlar,37.8333,37.8333,37.8333,1
Bulisa,2.1217,2.1217,2.1217,1
Santa María Atzompa,17.0794,17.0794,17.0794,1
Vohitrafeno,-21.6667,-21.6667,-21.6667,1
Eldorado,-26.4,-24.902298,-23.7869,3
Zugdidi,42.5083,42.5083,42.5083,1
Majali,14.9,14.9,14.9,1
Encarnación de Díaz,21.5167,21.5167,21.5167,1
Fukusaki,34.9503,34.9503,34.9503,1
Kamagaya,35.7768,35.7768,35.7768,1
San Carlos Centro,-31.7333,-31.7333,-31.7333,1
Bedford Heights,41.4041,41.4041,41.4041,1
Sasolburg,-26.8142,-26.8142,-26.8142,1
